id;id_evento;ts_evento;note
1;76906;2022-02-17T17:47:18;Director Tugrik
2;53142;2022-02-18T04:18:57;De-engineered Assistant red
3;48454;2022-02-17T18:33:57;Plastic Implemented transmitter
4;57941;2022-02-18T16:24:13;Soft impactful functionalities
5;38564;2022-02-18T06:14:06;West
6;37904;2022-02-18T16:52:33;plum
7;21054;2022-02-18T15:48:53;Refined Producer
8;86201;2022-02-17T20:26:12;withdrawal Small
9;54427;2022-02-18T10:31:43;Planner Chair Indiana
10;16321;2022-02-18T06:57:34;cross-platform web-readiness Kwacha
