id;id_stadio;ds_stadio;ts_cambio_stato
1;8398;Carolina benchmark technologies;2022-02-18T13:06:53
2;63360;pixel incubate;2022-02-18T01:06:53
3;86208;Bhutan Account extend;2022-02-18T08:57:58
4;62466;Usability Car;2022-02-18T15:12:47
5;57316;Object-based hard XML;2022-02-18T06:00:08
6;25171;Loan Convertible Massachusetts;2022-02-18T16:11:27
7;12884;Dong one-to-one;2022-02-18T04:08:07
8;3077;web-readiness Towels;2022-02-18T16:09:09
9;70305;input Metal;2022-02-18T03:35:05
10;13049;Pound models Officer;2022-02-18T16:20:32
